Target,Modelo,CV_Score,Test_Accuracy,Test_Balanced_Acc,Test_F1,Overfitting,Test_Recall_Positivo
DH_mortos_feridos,LogisticRegression,0.7362564656777081,0.6562625855819573,0.6913378537088795,0.6997580624504338,-0.005977581313287739,0.7439613526570048
DH_mortos_feridos,RandomForest,0.7867142093806526,0.7738622633910592,0.7850889481954688,0.798521248201775,0.0179033180205187,0.8019323671497585
DH_mortos_feridos,XGBoost,0.3613336596283303,0.8807893677003624,0.6806717170655852,0.8625902136925012,0.01663301101642134,0.3804347826086957
DH_total_danos_humanos_diretos,LogisticRegression,0.6070363183918102,0.6005025125628141,0.6501106004865683,0.5871643981541224,0.015115383049227993,
DH_total_danos_humanos_diretos,RandomForest,0.7103976289598988,0.7087711283691183,0.7117565373562117,0.7110522789824605,0.11299875495137135,
DH_total_danos_humanos_diretos,XGBoost,0.7009744508254214,0.7060301507537688,0.6923711005642983,0.701970593244956,0.051650458230945384,
DM_total_danos_materiais,LogisticRegression,0.6897599133572432,0.658063042485153,0.6298249261518468,0.690326766752453,0.0003273551799307661,
DM_total_danos_materiais,RandomForest,0.7378277944485271,0.7192782092279579,0.6481617118783943,0.7382498105071599,0.08449534222407162,
DM_total_danos_materiais,XGBoost,0.7225210896381494,0.7389218821379625,0.5786614759966481,0.7299011997803847,0.06020408167139524,
PEPL_total_publico,LogisticRegression,0.5710459325603217,0.5607583371402467,0.5659401234928612,0.570311710700377,0.007579464739675967,
PEPL_total_publico,RandomForest,0.6658636229636395,0.6790772042028324,0.661689108530691,0.6816232443557627,0.13202830893699768,
PEPL_total_publico,XGBoost,0.6570883592176947,0.6719963453631795,0.606564766969138,0.657219629472641,0.04036954188403341,
PEPR_total_privado,LogisticRegression,0.5607882407031176,0.5431703974417542,0.5662723461875626,0.5515346967016864,0.006020050986210279,
PEPR_total_privado,RandomForest,0.6711812915574563,0.6703974417542257,0.6471125718123728,0.6743322144046843,0.1431255807520162,
PEPR_total_privado,XGBoost,0.6647203983929398,0.6804476930105071,0.6018174198784241,0.6626625951677458,0.04917812143260114,
